date,product,sku,quantity,unit_type,applied_cost_per_quantity,gross_amount,discount_amount,net_amount,username,organization,repository,cost_center_name,model
2026-05-04,copilot,copilot_premium_request,30,request,0.04,1.20,0.18,1.02,mallory,acme-mobile,android-app,Mobile,Auto: Claude Haiku 4.5
2026-05-04,copilot,copilot_premium_request,61,request,0.04,2.44,0.37,2.07,frank,acme-frontend,web-dashboard,Frontend,Claude Opus 4.7
2026-05-04,copilot,copilot_premium_request,30,request,0.04,1.20,0.18,1.02,grace,acme-frontend,web-dashboard,Frontend,Gemini 2.5 Pro
2026-05-04,copilot,copilot_premium_request,48,request,0.04,1.92,0.29,1.63,oscar,acme-frontend,design-system,Frontend,Auto: Claude Haiku 4.5
2026-05-04,copilot,copilot_premium_request,38,request,0.04,1.52,0.23,1.29,oscar,acme-frontend,web-dashboard,Frontend,Claude Sonnet 4.6
2026-05-05,copilot,copilot_premium_request,34,request,0.04,1.36,0.20,1.16,alice,acme-platform,core-api,Platform Engineering,Auto: Claude Sonnet 4.6
2026-05-05,copilot,copilot_premium_request,33,request,0.04,1.32,0.20,1.12,alice,acme-platform,infra-tools,Platform Engineering,Claude Opus 4.7
2026-05-05,copilot,copilot_premium_request,62,request,0.04,2.48,0.37,2.11,bob,acme-platform,infra-tools,Platform Engineering,Auto: Claude Sonnet 4.6
2026-05-05,copilot,copilot_premium_request,34,request,0.04,1.36,0.20,1.16,heidi,acme-platform,core-api,Platform Engineering,Claude Sonnet 4.6
2026-05-05,copilot,copilot_premium_request,40,request,0.04,1.60,0.24,1.36,heidi,acme-platform,core-api,Platform Engineering,Auto: Claude Sonnet 4.6
2026-05-05,copilot,copilot_premium_request,27,request,0.04,1.08,0.16,0.92,ivan,acme-platform,infra-tools,Platform Engineering,Claude Opus 4.7
2026-05-05,copilot,copilot_premium_request,32,request,0.04,1.28,0.19,1.09,carol,acme-data,ml-pipeline,Data Science,Claude Haiku 4.5
2026-05-05,copilot,copilot_premium_request,61,request,0.04,2.44,0.37,2.07,dave,acme-data,feature-store,Data Science,Auto: Claude Sonnet 4.6
2026-05-05,copilot,copilot_premium_request,50,request,0.04,2.00,0.30,1.70,dave,acme-data,ml-pipeline,Data Science,GPT-5.3-Codex
2026-05-05,copilot,copilot_premium_request,38,request,0.04,1.52,0.23,1.29,judy,acme-data,feature-store,Data Science,Auto: GPT-5.3-Codex
2026-05-05,copilot,copilot_premium_request,64,request,0.04,2.56,0.38,2.18,erin,acme-mobile,ios-app,Mobile,Auto: GPT-5.3-Codex
2026-05-05,copilot,copilot_premium_request,59,request,0.04,2.36,0.35,2.01,erin,acme-mobile,android-app,Mobile,Auto: Claude Haiku 4.5
2026-05-05,copilot,copilot_premium_request,56,request,0.04,2.24,0.34,1.90,mallory,acme-mobile,android-app,Mobile,Auto: GPT-5.3-Codex
2026-05-05,copilot,copilot_premium_request,43,request,0.04,1.72,0.26,1.46,mallory,acme-mobile,android-app,Mobile,Claude Haiku 4.5
2026-05-05,copilot,copilot_premium_request,62,request,0.04,2.48,0.37,2.11,frank,acme-frontend,design-system,Frontend,Auto: Claude Sonnet 4.6
2026-05-05,copilot,copilot_premium_request,52,request,0.04,2.08,0.31,1.77,frank,acme-frontend,web-dashboard,Frontend,GPT-5.3-Codex
2026-05-05,copilot,copilot_premium_request,43,request,0.04,1.72,0.26,1.46,grace,acme-frontend,web-dashboard,Frontend,Auto: Claude Sonnet 4.6
2026-05-05,copilot,copilot_premium_request,33,request,0.04,1.32,0.20,1.12,grace,acme-frontend,design-system,Frontend,Auto: GPT-5.3-Codex
2026-05-05,copilot,copilot_premium_request,42,request,0.04,1.68,0.25,1.43,oscar,acme-frontend,design-system,Frontend,Claude Opus 4.7
2026-05-06,copilot,copilot_premium_request,29,request,0.04,1.16,0.17,0.99,alice,acme-platform,infra-tools,Platform Engineering,Claude Sonnet 4.6
2026-05-06,copilot,copilot_premium_request,39,request,0.04,1.56,0.23,1.33,alice,acme-platform,core-api,Platform Engineering,Claude Haiku 4.5
2026-05-06,copilot,copilot_premium_request,28,request,0.04,1.12,0.17,0.95,bob,acme-platform,infra-tools,Platform Engineering,Auto: GPT-5.3-Codex
2026-05-06,copilot,copilot_premium_request,29,request,0.04,1.16,0.17,0.99,heidi,acme-platform,billing-service,Platform Engineering,Claude Sonnet 4.6
2026-05-06,copilot,copilot_premium_request,45,request,0.04,1.80,0.27,1.53,heidi,acme-platform,infra-tools,Platform Engineering,GPT-5.3-Codex
2026-05-06,copilot,copilot_premium_request,33,request,0.04,1.32,0.20,1.12,ivan,acme-platform,core-api,Platform Engineering,Auto: Claude Sonnet 4.6
2026-05-06,copilot,copilot_premium_request,22,request,0.04,0.88,0.13,0.75,ivan,acme-platform,core-api,Platform Engineering,Claude Opus 4.7
2026-05-06,copilot,copilot_premium_request,28,request,0.04,1.12,0.17,0.95,carol,acme-data,feature-store,Data Science,Claude Sonnet 4.6
2026-05-06,copilot,copilot_premium_request,26,request,0.04,1.04,0.16,0.88,carol,acme-data,ml-pipeline,Data Science,Auto: Gemini 2.5 Pro
2026-05-06,copilot,copilot_premium_request,41,request,0.04,1.64,0.25,1.39,dave,acme-data,ml-pipeline,Data Science,Auto: Claude Haiku 4.5
2026-05-06,copilot,copilot_premium_request,46,request,0.04,1.84,0.28,1.56,dave,acme-data,ml-pipeline,Data Science,Gemini 2.5 Pro
2026-05-06,copilot,copilot_premium_request,26,request,0.04,1.04,0.16,0.88,judy,acme-data,ml-pipeline,Data Science,Auto: Claude Sonnet 4.6
2026-05-06,copilot,copilot_premium_request,37,request,0.04,1.48,0.22,1.26,judy,acme-data,feature-store,Data Science,Claude Sonnet 4.6
2026-05-06,copilot,copilot_premium_request,59,request,0.04,2.36,0.35,2.01,erin,acme-mobile,ios-app,Mobile,GPT-5.4
2026-05-06,copilot,copilot_premium_request,57,request,0.04,2.28,0.34,1.94,erin,acme-mobile,android-app,Mobile,GPT-5.3-Codex
2026-05-06,copilot,copilot_premium_request,56,request,0.04,2.24,0.34,1.90,mallory,acme-mobile,ios-app,Mobile,GPT-5.3-Codex
2026-05-06,copilot,copilot_premium_request,41,request,0.04,1.64,0.25,1.39,mallory,acme-mobile,android-app,Mobile,Auto: Claude Haiku 4.5
2026-05-06,copilot,copilot_premium_request,30,request,0.04,1.20,0.18,1.02,frank,acme-frontend,web-dashboard,Frontend,Auto: Claude Sonnet 4.6
2026-05-06,copilot,copilot_premium_request,25,request,0.04,1.00,0.15,0.85,grace,acme-frontend,web-dashboard,Frontend,Auto: GPT-5.3-Codex
2026-05-06,copilot,copilot_premium_request,24,request,0.04,0.96,0.14,0.82,grace,acme-frontend,web-dashboard,Frontend,Auto: Claude Haiku 4.5
2026-05-06,copilot,copilot_premium_request,67,request,0.04,2.68,0.40,2.28,oscar,acme-frontend,design-system,Frontend,Claude Sonnet 4.6
2026-05-06,copilot,copilot_premium_request,64,request,0.04,2.56,0.38,2.18,oscar,acme-frontend,design-system,Frontend,GPT-5.3-Codex
2026-05-07,copilot,copilot_premium_request,45,request,0.04,1.80,0.27,1.53,alice,acme-platform,billing-service,Platform Engineering,Claude Sonnet 4.6
2026-05-07,copilot,copilot_premium_request,61,request,0.04,2.44,0.37,2.07,heidi,acme-platform,core-api,Platform Engineering,GPT-5.3-Codex
2026-05-07,copilot,copilot_premium_request,51,request,0.04,2.04,0.31,1.73,heidi,acme-platform,billing-service,Platform Engineering,Code Review model
2026-05-07,copilot,copilot_premium_request,39,request,0.04,1.56,0.23,1.33,ivan,acme-platform,billing-service,Platform Engineering,Claude Opus 4.7
2026-05-07,copilot,copilot_premium_request,30,request,0.04,1.20,0.18,1.02,carol,acme-data,feature-store,Data Science,Auto: Claude Haiku 4.5
2026-05-07,copilot,copilot_premium_request,43,request,0.04,1.72,0.26,1.46,carol,acme-data,feature-store,Data Science,Auto: Claude Haiku 4.5
2026-05-07,copilot,copilot_premium_request,19,request,0.04,0.76,0.11,0.65,dave,acme-data,feature-store,Data Science,GPT-5.3-Codex
2026-05-07,copilot,copilot_premium_request,33,request,0.04,1.32,0.20,1.12,judy,acme-data,ml-pipeline,Data Science,GPT-5.3-Codex
2026-05-07,copilot,copilot_premium_request,53,request,0.04,2.12,0.32,1.80,erin,acme-mobile,ios-app,Mobile,Auto: Claude Sonnet 4.6
2026-05-07,copilot,copilot_premium_request,35,request,0.04,1.40,0.21,1.19,mallory,acme-mobile,ios-app,Mobile,Auto: Claude Sonnet 4.6
2026-05-07,copilot,copilot_premium_request,27,request,0.04,1.08,0.16,0.92,mallory,acme-mobile,android-app,Mobile,GPT-5.3-Codex
2026-05-07,copilot,copilot_premium_request,30,request,0.04,1.20,0.18,1.02,frank,acme-frontend,design-system,Frontend,Claude Sonnet 4.6
2026-05-07,copilot,copilot_premium_request,27,request,0.04,1.08,0.16,0.92,frank,acme-frontend,web-dashboard,Frontend,Auto: Gemini 2.5 Pro
2026-05-07,copilot,copilot_premium_request,66,request,0.04,2.64,0.40,2.24,grace,acme-frontend,web-dashboard,Frontend,Auto: Claude Sonnet 4.6
2026-05-07,copilot,copilot_premium_request,44,request,0.04,1.76,0.26,1.50,oscar,acme-frontend,design-system,Frontend,Auto: GPT-5.3-Codex
2026-05-08,copilot,copilot_premium_request,18,request,0.04,0.72,0.11,0.61,bob,acme-platform,billing-service,Platform Engineering,GPT-5.4
2026-05-08,copilot,copilot_premium_request,29,request,0.04,1.16,0.17,0.99,bob,acme-platform,infra-tools,Platform Engineering,Claude Opus 4.7
2026-05-08,copilot,copilot_premium_request,38,request,0.04,1.52,0.23,1.29,heidi,acme-platform,billing-service,Platform Engineering,Claude Sonnet 4.6
2026-05-08,copilot,copilot_premium_request,37,request,0.04,1.48,0.22,1.26,heidi,acme-platform,infra-tools,Platform Engineering,Claude Sonnet 4.6
2026-05-08,copilot,copilot_premium_request,57,request,0.04,2.28,0.34,1.94,ivan,acme-platform,billing-service,Platform Engineering,Auto: Claude Haiku 4.5
2026-05-08,copilot,copilot_premium_request,62,request,0.04,2.48,0.37,2.11,carol,acme-data,ml-pipeline,Data Science,Auto: Claude Sonnet 4.6
2026-05-08,copilot,copilot_premium_request,47,request,0.04,1.88,0.28,1.60,carol,acme-data,feature-store,Data Science,Claude Sonnet 4.6
2026-05-08,copilot,copilot_premium_request,60,request,0.04,2.40,0.36,2.04,dave,acme-data,ml-pipeline,Data Science,Claude Sonnet 4.6
2026-05-08,copilot,copilot_premium_request,68,request,0.04,2.72,0.41,2.31,dave,acme-data,feature-store,Data Science,Auto: Claude Sonnet 4.6
2026-05-08,copilot,copilot_premium_request,33,request,0.04,1.32,0.20,1.12,judy,acme-data,ml-pipeline,Data Science,Claude Opus 4.7
2026-05-08,copilot,copilot_premium_request,28,request,0.04,1.12,0.17,0.95,judy,acme-data,ml-pipeline,Data Science,Auto: Claude Sonnet 4.6
2026-05-08,copilot,copilot_premium_request,43,request,0.04,1.72,0.26,1.46,erin,acme-mobile,android-app,Mobile,Claude Sonnet 4.6
2026-05-08,copilot,copilot_premium_request,46,request,0.04,1.84,0.28,1.56,erin,acme-mobile,android-app,Mobile,Auto: GPT-5.3-Codex
2026-05-08,copilot,copilot_premium_request,33,request,0.04,1.32,0.20,1.12,mallory,acme-mobile,ios-app,Mobile,Auto: GPT-5.3-Codex
2026-05-08,copilot,copilot_premium_request,69,request,0.04,2.76,0.41,2.35,frank,acme-frontend,design-system,Frontend,GPT-5.3-Codex
2026-05-08,copilot,copilot_premium_request,65,request,0.04,2.60,0.39,2.21,frank,acme-frontend,design-system,Frontend,Code Review model
2026-05-08,copilot,copilot_premium_request,24,request,0.04,0.96,0.14,0.82,grace,acme-frontend,web-dashboard,Frontend,Claude Opus 4.7
2026-05-08,copilot,copilot_premium_request,53,request,0.04,2.12,0.32,1.80,oscar,acme-frontend,web-dashboard,Frontend,Claude Opus 4.7
2026-05-09,copilot,copilot_premium_request,20,request,0.04,0.80,0.12,0.68,alice,acme-platform,core-api,Platform Engineering,Claude Sonnet 4.6
2026-05-09,copilot,copilot_premium_request,26,request,0.04,1.04,0.16,0.88,alice,acme-platform,core-api,Platform Engineering,Auto: Claude Haiku 4.5
2026-05-09,copilot,copilot_premium_request,20,request,0.04,0.80,0.12,0.68,bob,acme-platform,core-api,Platform Engineering,Claude Sonnet 4.6
2026-05-09,copilot,copilot_premium_request,19,request,0.04,0.76,0.11,0.65,ivan,acme-platform,infra-tools,Platform Engineering,Auto: Claude Sonnet 4.6
2026-05-09,copilot,copilot_premium_request,22,request,0.04,0.88,0.13,0.75,carol,acme-data,feature-store,Data Science,Claude Sonnet 4.6
2026-05-09,copilot,copilot_premium_request,24,request,0.04,0.96,0.14,0.82,carol,acme-data,ml-pipeline,Data Science,Auto: GPT-5.3-Codex
2026-05-09,copilot,copilot_premium_request,11,request,0.04,0.44,0.07,0.37,dave,acme-data,ml-pipeline,Data Science,Auto: Claude Haiku 4.5
2026-05-09,copilot,copilot_premium_request,19,request,0.04,0.76,0.11,0.65,frank,acme-frontend,design-system,Frontend,Auto: Claude Sonnet 4.6
2026-05-09,copilot,copilot_premium_request,21,request,0.04,0.84,0.13,0.71,frank,acme-frontend,web-dashboard,Frontend,Claude Opus 4.7
2026-05-09,copilot,copilot_premium_request,26,request,0.04,1.04,0.16,0.88,grace,acme-frontend,web-dashboard,Frontend,Auto: Gemini 2.5 Pro
2026-05-09,copilot,copilot_premium_request,31,request,0.04,1.24,0.19,1.05,oscar,acme-frontend,design-system,Frontend,Auto: Claude Sonnet 4.6
2026-05-10,copilot,copilot_premium_request,25,request,0.04,1.00,0.15,0.85,alice,acme-platform,infra-tools,Platform Engineering,Claude Opus 4.7
2026-05-10,copilot,copilot_premium_request,19,request,0.04,0.76,0.11,0.65,alice,acme-platform,infra-tools,Platform Engineering,Claude Sonnet 4.6
2026-05-10,copilot,copilot_premium_request,14,request,0.04,0.56,0.08,0.48,heidi,acme-platform,infra-tools,Platform Engineering,Auto: Claude Sonnet 4.6
2026-05-10,copilot,copilot_premium_request,18,request,0.04,0.72,0.11,0.61,heidi,acme-platform,core-api,Platform Engineering,GPT-5.4
2026-05-10,copilot,copilot_premium_request,28,request,0.04,1.12,0.17,0.95,ivan,acme-platform,core-api,Platform Engineering,Claude Sonnet 4.6
2026-05-10,copilot,copilot_premium_request,26,request,0.04,1.04,0.16,0.88,ivan,acme-platform,billing-service,Platform Engineering,Claude Sonnet 4.6
2026-05-10,copilot,copilot_premium_request,23,request,0.04,0.92,0.14,0.78,dave,acme-data,feature-store,Data Science,Code Review model
2026-05-10,copilot,copilot_premium_request,26,request,0.04,1.04,0.16,0.88,dave,acme-data,ml-pipeline,Data Science,Auto: GPT-5.3-Codex
2026-05-10,copilot,copilot_premium_request,23,request,0.04,0.92,0.14,0.78,judy,acme-data,ml-pipeline,Data Science,Claude Opus 4.7
2026-05-10,copilot,copilot_premium_request,22,request,0.04,0.88,0.13,0.75,judy,acme-data,feature-store,Data Science,Claude Sonnet 4.6
2026-05-10,copilot,copilot_premium_request,28,request,0.04,1.12,0.17,0.95,mallory,acme-mobile,android-app,Mobile,Claude Opus 4.7
2026-05-10,copilot,copilot_premium_request,27,request,0.04,1.08,0.16,0.92,grace,acme-frontend,web-dashboard,Frontend,Claude Opus 4.7
2026-05-10,copilot,copilot_premium_request,18,request,0.04,0.72,0.11,0.61,grace,acme-frontend,design-system,Frontend,Auto: Claude Haiku 4.5
2026-05-10,copilot,copilot_premium_request,26,request,0.04,1.04,0.16,0.88,oscar,acme-frontend,web-dashboard,Frontend,Auto: Claude Sonnet 4.6
2026-05-11,copilot,copilot_premium_request,29,request,0.04,1.16,0.17,0.99,alice,acme-platform,core-api,Platform Engineering,Claude Sonnet 4.6
2026-05-11,copilot,copilot_premium_request,34,request,0.04,1.36,0.20,1.16,bob,acme-platform,infra-tools,Platform Engineering,Claude Sonnet 4.6
2026-05-11,copilot,copilot_premium_request,37,request,0.04,1.48,0.22,1.26,heidi,acme-platform,infra-tools,Platform Engineering,Code Review model
2026-05-11,copilot,copilot_premium_request,35,request,0.04,1.40,0.21,1.19,heidi,acme-platform,infra-tools,Platform Engineering,Auto: Claude Sonnet 4.6
2026-05-11,copilot,copilot_premium_request,75,request,0.04,3.00,0.45,2.55,ivan,acme-platform,billing-service,Platform Engineering,Auto: Claude Haiku 4.5
2026-05-11,copilot,copilot_premium_request,52,request,0.04,2.08,0.31,1.77,carol,acme-data,feature-store,Data Science,GPT-5.4
2026-05-11,copilot,copilot_premium_request,62,request,0.04,2.48,0.37,2.11,carol,acme-data,feature-store,Data Science,GPT-5.4
2026-05-11,copilot,copilot_premium_request,46,request,0.04,1.84,0.28,1.56,dave,acme-data,feature-store,Data Science,Auto: GPT-5.3-Codex
2026-05-11,copilot,copilot_premium_request,40,request,0.04,1.60,0.24,1.36,dave,acme-data,ml-pipeline,Data Science,Claude Sonnet 4.6
2026-05-11,copilot,copilot_premium_request,41,request,0.04,1.64,0.25,1.39,judy,acme-data,ml-pipeline,Data Science,Auto: Claude Haiku 4.5
2026-05-11,copilot,copilot_premium_request,35,request,0.04,1.40,0.21,1.19,judy,acme-data,feature-store,Data Science,Auto: GPT-5.3-Codex
2026-05-11,copilot,copilot_premium_request,39,request,0.04,1.56,0.23,1.33,erin,acme-mobile,android-app,Mobile,Claude Sonnet 4.6
2026-05-11,copilot,copilot_premium_request,79,request,0.04,3.16,0.47,2.69,mallory,acme-mobile,ios-app,Mobile,Auto: Claude Sonnet 4.6
2026-05-11,copilot,copilot_premium_request,60,request,0.04,2.40,0.36,2.04,mallory,acme-mobile,ios-app,Mobile,GPT-5.3-Codex
2026-05-11,copilot,copilot_premium_request,44,request,0.04,1.76,0.26,1.50,grace,acme-frontend,design-system,Frontend,Claude Opus 4.7
2026-05-11,copilot,copilot_premium_request,39,request,0.04,1.56,0.23,1.33,grace,acme-frontend,design-system,Frontend,Claude Haiku 4.5
2026-05-11,copilot,copilot_premium_request,30,request,0.04,1.20,0.18,1.02,oscar,acme-frontend,design-system,Frontend,Auto: Claude Haiku 4.5
2026-05-12,copilot,copilot_premium_request,68,request,0.04,2.72,0.41,2.31,alice,acme-platform,infra-tools,Platform Engineering,Code Review model
2026-05-12,copilot,copilot_premium_request,57,request,0.04,2.28,0.34,1.94,alice,acme-platform,infra-tools,Platform Engineering,Gemini 2.5 Pro
2026-05-12,copilot,copilot_premium_request,23,request,0.04,0.92,0.14,0.78,bob,acme-platform,billing-service,Platform Engineering,GPT-5.3-Codex
2026-05-12,copilot,copilot_premium_request,23,request,0.04,0.92,0.14,0.78,bob,acme-platform,billing-service,Platform Engineering,Auto: Gemini 2.5 Pro
2026-05-12,copilot,copilot_premium_request,65,request,0.04,2.60,0.39,2.21,heidi,acme-platform,billing-service,Platform Engineering,Auto: Claude Sonnet 4.6
2026-05-12,copilot,copilot_premium_request,39,request,0.04,1.56,0.23,1.33,ivan,acme-platform,billing-service,Platform Engineering,Auto: Claude Haiku 4.5
2026-05-12,copilot,copilot_premium_request,29,request,0.04,1.16,0.17,0.99,carol,acme-data,ml-pipeline,Data Science,Gemini 2.5 Pro
2026-05-12,copilot,copilot_premium_request,33,request,0.04,1.32,0.20,1.12,carol,acme-data,feature-store,Data Science,Auto: Claude Sonnet 4.6
2026-05-12,copilot,copilot_premium_request,39,request,0.04,1.56,0.23,1.33,dave,acme-data,feature-store,Data Science,Claude Sonnet 4.6
2026-05-12,copilot,copilot_premium_request,34,request,0.04,1.36,0.20,1.16,dave,acme-data,feature-store,Data Science,GPT-5.4
2026-05-12,copilot,copilot_premium_request,61,request,0.04,2.44,0.37,2.07,judy,acme-data,feature-store,Data Science,Auto: Claude Sonnet 4.6
2026-05-12,copilot,copilot_premium_request,53,request,0.04,2.12,0.32,1.80,judy,acme-data,ml-pipeline,Data Science,Auto: Claude Haiku 4.5
2026-05-12,copilot,copilot_premium_request,49,request,0.04,1.96,0.29,1.67,erin,acme-mobile,android-app,Mobile,GPT-5.3-Codex
